yourlist:M2022031492C7BAECDB1C5C413EE0E0348724B68245F46EG	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
2olb,1jev,1jeu,1jet,2rkm,1b7h,1b6h,1b1h,1b0h,1b3h,1b5h,1b3l,1b3f,1b3g,1b2h,1b4h,1b05,1b32,1b9j,1qka,1b58,1b5j,1b51,1qkb,1b46,1b40,1b4z,1b52,1b5i	P06202	OPPA_SALTY	reviewed	Periplasmic oligopeptide-binding protein	oppA STM1746	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	543
1bky,3mct,3mag,1b42	P07617	MCE_VACCW	reviewed	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase (EC 2.1.1.57) (Poly(A) polymerase regulatory subunit) (Poly(A) polymerase small subunit) (PAP-S) (VP39)	PAPS VACWR095 J3R	Vaccinia virus (strain Western Reserve) (VACV) (Vaccinia virus (strain WR))	333
1juy,1qf5,1qf4,1ch8	P0A7D4	PURA_ECOLI	reviewed	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA adeK b4177 JW4135	Escherichia coli (strain K12)	432
1oth	P00480	OTC_HUMAN	reviewed	Ornithine transcarbamylase, mitochondrial (OTCase) (EC 2.1.3.3) (Ornithine carbamoyltransferase, mitochondrial)	OTC	Homo sapiens (Human)	354
1bo5	P0A6F3	GLPK_ECOLI	reviewed	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	glpK b3926 JW3897	Escherichia coli (strain K12)	502
1dfo	P0A825	GLYA_ECOLI	reviewed	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA b2551 JW2535	Escherichia coli (strain K12)	417
1bxr	P00968	CARB_ECOLI	reviewed	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	carB pyrA b0033 JW0031	Escherichia coli (strain K12)	1073
1bxr	P0A6F1	CARA_ECOLI	reviewed	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA pyrA b0032 JW0030	Escherichia coli (strain K12)	382
4yas,5yas	P52704	HNL_HEVBR	reviewed	(S)-hydroxynitrile lyase (EC 4.1.2.47) ((S)-acetone-cyanohydrin lyase) (Oxynitrilase)	HNL	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	257
1rtf,1a5h	P00750	TPA_HUMAN	reviewed	Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) (Alteplase) (Reteplase) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B]	PLAT	Homo sapiens (Human)	562
1ekb	P98072	ENTK_BOVIN	reviewed	Enteropeptidase (EC 3.4.21.9) (Enterokinase) (Serine protease 7) (Transmembrane protease serine 15) [Cleaved into: Enteropeptidase non-catalytic heavy chain; Enteropeptidase catalytic light chain]	TMPRSS15 ENTK PRSS7	Bos taurus (Bovine)	1035
1cet	Q27743	LDH_PLAFD	reviewed	L-lactate dehydrogenase (EC 1.1.1.27) (LDH-P)		Plasmodium falciparum (isolate CDC / Honduras)	316
1dg9	P11064	PPAC_BOVIN	reviewed	Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.48) (Low molecular weight cytosolic acid phosphatase) (EC 3.1.3.2)	ACP1	Bos taurus (Bovine)	158
1d5r	P60484	PTEN_HUMAN	reviewed	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Mutated in multiple advanced cancers 1) (Phosphatase and tensin homolog)	PTEN MMAC1 TEP1	Homo sapiens (Human)	403
1mfi	P34884	MIF_MOUSE	reviewed	Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Delayed early response protein 6) (DER6) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)	Mif	Mus musculus (Mouse)	115
2sfp	P10724	ALR_GEOSE	reviewed	Alanine racemase (EC 5.1.1.1)	alr dal	Geobacillus stearothermophilus (Bacillus stearothermophilus)	388
1bai	P03322	GAG_RSVP	reviewed	Gag polyprotein [Cleaved into: Matrix protein p19; p2A; p2B; p10; Capsid protein p27, alternate cleaved 1; Capsid protein p27, alternate cleaved 2; Spacer peptide (SP) (p3); Nucleocapsid protein p12; Protease p15 (EC 3.4.23.-)]	gag	Rous sarcoma virus (strain Prague C) (RSV-PrC)	701
1c3x	P81989	PUNA_CELSP	reviewed	Purine nucleoside phosphorylase (PNP) (Pu-NPase) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	punA	Cellulomonas sp.	282
1cgl,966c	P03956	MMP1_HUMAN	reviewed	Interstitial collagenase (EC 3.4.24.7) (Fibroblast collagenase) (Matrix metalloproteinase-1) (MMP-1) [Cleaved into: 22 kDa interstitial collagenase; 27 kDa interstitial collagenase]	MMP1 CLG	Homo sapiens (Human)	469
2tsr	P45352	TYSY_RAT	reviewed	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	Tyms	Rattus norvegicus (Rat)	307
2fmb	Q66729	Q66729_9RETR	unreviewed	Reverse transcriptase (Fragment)	pol	Equine infectious anemia virus	209
1fmb,2fmb	P32542	POL_EIAVC	reviewed	Pol polyprotein [Cleaved into: Protease (Retropepsin) (EC 3.4.23.-); Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]	pol	Equine infectious anemia virus (isolate CL22) (EIAV)	1146
1qjb	P0DOJ7	MT_POVBG	reviewed	Middle T antigen (MT) (MT-AG)		Murine polyomavirus (strain BG) (MPyV)	421
1std,2std,7std,6std,5std,4std,3std	P56221	SCYD_MAGO7	reviewed	Scytalone dehydratase (SD) (SDH) (EC 4.2.1.94)	SDH1 MGG_05059	Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Pyricularia oryzae)	172
2toh	P04177	TY3H_RAT	reviewed	Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH)	Th	Rattus norvegicus (Rat)	498
1qr3	D7UER0	D7UER0_9ACTN	unreviewed	Fr901277		Streptomyces resistomycificus	8
1qk4,1qk3,1fsg	Q26997	HGXR_TOXGO	reviewed	Hypoxanthine-guanine-xanthine phosphoribosyltransferase (HGPRT) (HGXPRT) (HGXPRTase) (EC 2.4.2.22) (EC 2.4.2.8)	HPRT	Toxoplasma gondii	230
1fao	Q9UN19	DAPP1_HUMAN	reviewed	Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide (hDAPP1) (B lymphocyte adapter protein Bam32) (B-cell adapter molecule of 32 kDa)	DAPP1 BAM32 HSPC066	Homo sapiens (Human)	280
1dl7	P01820	HVM44_MOUSE	reviewed	Ig heavy chain V region PJ14		Mus musculus (Mouse)	115
1flm	Q46604	FMNB_DESVM	reviewed	FMN-binding protein	DvMF_2023	Desulfovibrio vulgaris (strain DSM 19637 / Miyazaki F)	122
1br8,1azx,1e03	P01008	ANT3_HUMAN	reviewed	Antithrombin-III (ATIII) (Serpin C1)	SERPINC1 AT3 PRO0309	Homo sapiens (Human)	464
1fbm	P35444	COMP_RAT	reviewed	Cartilage oligomeric matrix protein (COMP)	Comp	Rattus norvegicus (Rat)	755
1e02,1e00,1dzj,1e06,1dzp,1dzm,1dzk	P81245	OBP_PIG	reviewed	Odorant-binding protein (OBP)		Sus scrofa (Pig)	157
1czl,1czr,1d04,1czo,1czk	P10340	FLAV_SYNE7	reviewed	Flavodoxin	isiB Synpcc7942_1541	Synechococcus elongatus (strain PCC 7942 / FACHB-805) (Anacystis nidulans R2)	170
1duv	P04391	OTC1_ECOLI	reviewed	Ornithine carbamoyltransferase subunit I (OTCase-1) (EC 2.1.3.3)	argI b4254 JW4211	Escherichia coli (strain K12)	334
1qft	O77421	HBP2_RHIAP	reviewed	Female-specific histamine-binding protein 2 (FS-HBP2)		Rhipicephalus appendiculatus (Brown ear tick)	190
2nmb,1ddm	P16554	NUMB_DROME	reviewed	Protein numb	numb CG3779	Drosophila melanogaster (Fruit fly)	556
1dpu	P15927	RFA2_HUMAN	reviewed	Replication protein A 32 kDa subunit (RP-A p32) (Replication factor A protein 2) (RF-A protein 2) (Replication protein A 34 kDa subunit) (RP-A p34)	RPA2 REPA2 RPA32 RPA34	Homo sapiens (Human)	270
1dkd	P0A6F5	CH60_ECOLI	reviewed	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60) (GroEL protein)	groEL groL mopA b4143 JW4103	Escherichia coli (strain K12)	548
1e8h	P56216	VAOX_PENSI	reviewed	Vanillyl-alcohol oxidase (EC 1.1.3.38) (4-allylphenol oxidase) (Aryl-alcohol oxidase)	VAOA	Penicillium simplicissimum	560
1fo0	P04214	TVB6_MOUSE	reviewed	T-cell receptor beta chain V region E1		Mus musculus (Mouse)	136
1fo0	Q8CDD8	KCD20_MOUSE	reviewed	BTB/POZ domain-containing protein KCTD20 (Potassium channel tetramerization domain containing 20)	Kctd20	Mus musculus (Mouse)	419
1fo0	Q5R1F1	Q5R1F1_MOUSE	unreviewed	TRADV16D (TRAV16) (Fragment)	TRADV16D TRAV16	Mus musculus (Mouse)	118
1fzq	Q9WUL7	ARL3_MOUSE	reviewed	ADP-ribosylation factor-like protein 3	Arl3	Mus musculus (Mouse)	182
1qpb	P06169	PDC1_YEAST	reviewed	Pyruvate decarboxylase isozyme 1 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)	PDC1 YLR044C L2104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	563
1akv,1akq,1akr,1azl,1akw,1akt,1aku,1c7f,1c7e	P00323	FLAV_DESVH	reviewed	Flavodoxin	DVU_2680	Desulfovibrio vulgaris (strain ATCC 29579 / DSM 644 / NCIMB 8303 / VKM B-1760 / Hildenborough)	148
1ej4	P63073	IF4E_MOUSE	reviewed	Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (mRNA cap-binding protein) (eIF-4F 25 kDa subunit)	Eif4e	Mus musculus (Mouse)	217
1g6r	P01852	TCB1_MOUSE	reviewed	T-cell receptor beta-1 chain C region		Mus musculus (Mouse)	173
1fl3,1etz	P01867	IGG2B_MOUSE	reviewed	Immunoglobulin heavy constant gamma 2B (Ig gamma-2B chain C region)	Ighg2b Igh-3	Mus musculus (Mouse)	404
1etz	G0YP42	G0YP42_MOUSE	unreviewed	Anti-human Langerin 2G3 lambda chain		Mus musculus (Mouse)	234
1f3j	P04228	HA2D_MOUSE	reviewed	H-2 class II histocompatibility antigen, A-D alpha chain	H2-Aa	Mus musculus (Mouse)	256
1f3j	Q31135	Q31135_MOUSE	unreviewed	H2-Ab1 protein	H2-Ab1	Mus musculus (Mouse)	263
1d6s	P0A1E3	CYSK_SALTY	reviewed	Cysteine synthase A (CSase A) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase A) (OAS-TL A) (O-acetylserine sulfhydrylase A)	cysK STM2430	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	323
1qng,1qnh	Q25756	Q25756_PLAFA	unreviewed	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)		Plasmodium falciparum	171
1b57	P0AB71	ALF_ECOLI	reviewed	Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)	fbaA fba fda b2925 JW2892	Escherichia coli (strain K12)	359
1c70	O92103	O92103_9HIV1	unreviewed	Protease (Fragment)	pol	Human immunodeficiency virus 1	99
1d1p	P40347	PPAL_YEAST	reviewed	Low molecular weight phosphotyrosine protein phosphatase (PTPase) (EC 3.1.3.48) (Low molecular weight cytosolic acid phosphatase) (EC 3.1.3.2)	LTP1 YPR073C YP9499.28C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	161
1c6y	O09893	O09893_9HIV1	unreviewed	Protease (Fragment)	pol	Human immunodeficiency virus 1	99
1qon	P07140	ACES_DROME	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7) [Cleaved into: Acetylcholinesterase 16 kDa subunit; Acetylcholinesterase 55 kDa subunit]	Ace CG17907	Drosophila melanogaster (Fruit fly)	649
1ec9,1ecq	P0AES2	GUDD_ECOLI	reviewed	Glucarate dehydratase (GDH) (GlucD) (EC 4.2.1.40) (D-glucarate dehydratase)	gudD ygcX b2787 JW2758	Escherichia coli (strain K12)	446
1qm5	P00490	PHSM_ECOLI	reviewed	Maltodextrin phosphorylase (EC 2.4.1.1)	malP b3417 JW5689	Escherichia coli (strain K12)	797
1dqn	Q24973	Q24973_GIAIN	unreviewed	Guanine phosphoribosyltransferase		Giardia intestinalis (Giardia lamblia)	230
1exw	P45478	PPT1_BOVIN	reviewed	Palmitoyl-protein thioesterase 1 (PPT-1) (EC 3.1.2.22) (Palmitoyl-protein hydrolase 1)	PPT1 CLN1 PPT	Bos taurus (Bovine)	306
1qji	P07584	ASTA_ASTAS	reviewed	Astacin (EC 3.4.24.21) (Crayfish small molecule proteinase)		Astacus astacus (Noble crayfish) (Astacus fluviatilis)	251
1gar,1c3e,1c2t	P08179	PUR3_ECOLI	reviewed	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	purN b2500 JW2485	Escherichia coli (strain K12)	212
1qaq,1qan	P13956	ERM_BACIU	reviewed	rRNA adenine N-6-methyltransferase (EC 2.1.1.184) (Erythromycin resistance protein) (Macrolide-lincosamide-streptogramin B resistance protein)	ermC'	Bacillus subtilis	244
2jxr,1fq8,1fq6,1fq7,1fq4,1fq5	P07267	CARP_YEAST	reviewed	Saccharopepsin (EC 3.4.23.25) (Aspartate protease) (PrA) (Proteinase A) (Carboxypeptidase Y-deficient protein 4) (Proteinase YSCA)	PEP4 PHO9 PRA1 YPL154C P2585	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	405
1f7b,1f74,1f73	P44539	NANA_HAEIN	reviewed	N-acetylneuraminate lyase (NAL) (Neu5Ac lyase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (Sialate lyase) (Sialic acid aldolase) (Sialic acid lyase)	nanA HI_0142	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	293
1dy4	P62694	GUX1_HYPJE	reviewed	Exoglucanase 1 (EC 3.2.1.91) (1,4-beta-cellobiohydrolase) (Cellobiohydrolase 7A) (Cel7A) (Exocellobiohydrolase I) (CBHI) (Exoglucanase I)	cbh1	Hypocrea jecorina (Trichoderma reesei)	513
1b74	P56868	MURI_AQUPY	reviewed	Glutamate racemase (EC 5.1.1.3)	murI	Aquifex pyrophilus	254
1qm4	P13444	METK1_RAT	reviewed	S-adenosylmethionine synthase isoform type-1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1) (Methionine adenosyltransferase I/III) (MAT-I/III)	Mat1a Ams1	Rattus norvegicus (Rat)	397
1e2k,1e2l	P0DTH5	KITH_HHV11	reviewed	Thymidine kinase (EC 2.7.1.21)	TK UL23	Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1)	376
1cr6,1ek1,1ek2	P34914	HYES_MOUSE	reviewed	Bifunctional epoxide hydrolase 2 [Includes: Cytosolic epoxide hydrolase 2 (CEH) (EC 3.3.2.10) (Epoxide hydratase) (Soluble epoxide hydrolase) (SEH); Lipid-phosphate phosphatase (EC 3.1.3.76)]	Ephx2 Eph2	Mus musculus (Mouse)	554
1e55	P49235	HGGL1_MAIZE	reviewed	4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase 1, chloroplastic (EC 3.2.1.182) (Beta-D-glucoside glucohydrolase) (Beta-glucosidase 1) (ZmGlu1) (EC 3.2.1.21)	GLU1	Zea mays (Maize)	566
1dgm	Q9TVW2	ADK_TOXGO	reviewed	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	AK	Toxoplasma gondii	363
1h8y	Q51400	Q51400_PSEAI	unreviewed	Beta-lactamase (EC 3.5.2.6)	bla oxa-13	Pseudomonas aeruginosa	266
1ft4	P19438	TNR1A_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 1A (Tumor necrosis factor receptor 1) (TNF-R1) (Tumor necrosis factor receptor type I) (TNF-RI) (TNFR-I) (p55) (p60) (CD antigen CD120a) [Cleaved into: Tumor necrosis factor receptor superfamily member 1A, membrane form; Tumor necrosis factor-binding protein 1 (TBPI)]	TNFRSF1A TNFAR TNFR1	Homo sapiens (Human)	455
1jq3	Q9WZC2	SPEE_THEMA	reviewed	Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16)	speE TM_0654	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	296
1hc9	P60616	3L21V_BUNMU	reviewed	Alpha-bungarotoxin isoform V31 (Alpha-BTX V31) (Alpha-Bgt(V31)) (BGTX V31) (Long neurotoxin 1)		Bungarus multicinctus (Many-banded krait)	95
1jik,1jii,1jij,1jil	A6QHR2	SYY_STAAE	reviewed	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	tyrS NWMN_1622	Staphylococcus aureus (strain Newman)	420
1i32,1i33	Q27890	G3PG_LEIME	reviewed	Glyceraldehyde-3-phosphate dehydrogenase, glycosomal (GAPDH) (EC 1.2.1.12)	GAPG	Leishmania mexicana	361
1jje,1jjt	Q79MP6	Q79MP6_PSEAI	unreviewed	Beta-lactamase (EC 3.5.2.6)	blaIMP-1 bla IMP bla-imp blaESP imp	Pseudomonas aeruginosa	246
1jd6	Q24106	HID_DROME	reviewed	Cell death protein hid (Protein head involution defective) (Protein wrinkled)	hid W CG5123	Drosophila melanogaster (Fruit fly)	410
1fwv,1fwu	Q61830	MRC1_MOUSE	reviewed	Macrophage mannose receptor 1 (MMR) (CD antigen CD206)	Mrc1	Mus musculus (Mouse)	1456
1jd6,1jd5	Q24306	DIAP1_DROME	reviewed	Death-associated inhibitor of apoptosis 1 (EC 2.3.2.27) (Apoptosis 1 inhibitor) (E3 ubiquitin-protein ligase th) (Inhibitor of apoptosis 1) (Protein thread) (RING-type E3 ubiquitin transferase Diap1)	Diap1 Iap1 th CG12284	Drosophila melanogaster (Fruit fly)	438
1jd5	Q24570	GRIM_DROME	reviewed	Cell death protein Grim	grim CG4345	Drosophila melanogaster (Fruit fly)	138
1d4w,1d4t,1ka7	O60880	SH21A_HUMAN	reviewed	SH2 domain-containing protein 1A (Duncan disease SH2-protein) (Signaling lymphocytic activation molecule-associated protein) (SLAM-associated protein) (T-cell signal transduction molecule SAP)	SH2D1A DSHP SAP	Homo sapiens (Human)	128
1h6e	P16410	CTLA4_HUMAN	reviewed	Cytotoxic T-lymphocyte protein 4 (Cytotoxic T-lymphocyte-associated antigen 4) (CTLA-4) (CD antigen CD152)	CTLA4 CD152	Homo sapiens (Human)	223
1fhr,1j4q,1k3q,1j4p,1k3n,1j4k	P14737	RAD9_YEAST	reviewed	DNA repair protein RAD9	RAD9 YDR217C YD9934.02C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1309
1k03	Q02899	OYE1_SACPS	reviewed	NADPH dehydrogenase 1 (EC 1.6.99.1) (Old yellow enzyme 1)	OYE1	Saccharomyces pastorianus (Lager yeast) (Saccharomyces cerevisiae x Saccharomyces eubayanus)	400
1h61,1h62,1h60	P71278	P71278_ENTCL	unreviewed	Pentaerythritol tetranitrate reductase	onr	Enterobacter cloacae	365
1f47	P0A9A6	FTSZ_ECOLI	reviewed	Cell division protein FtsZ	ftsZ sfiB sulB b0095 JW0093	Escherichia coli (strain K12)	383
1ii5	P73797	P73797_SYNY3	unreviewed	Slr1257 protein	slr1257	Synechocystis sp. (strain PCC 6803 / Kazusa)	397
1joc	Q15075	EEA1_HUMAN	reviewed	Early endosome antigen 1 (Endosome-associated protein p162) (Zinc finger FYVE domain-containing protein 2)	EEA1 ZFYVE2	Homo sapiens (Human)	1411
1jgl	Q7TS98	Q7TS98_MOUSE	unreviewed	Anti-colorectal carcinoma light chain		Mus musculus (Mouse)	236
1ewj	P13081	BLE_KLEPN	reviewed	Bleomycin resistance protein (BRP) (CL990 resistance protein)	ble	Klebsiella pneumoniae	126
1ikt	P51659	DHB4_HUMAN	reviewed	Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MFP-2) (Short chain dehydrogenase/reductase family 8C member 1) [Cleaved into: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.107) (EC 4.2.1.119) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase)]	HSD17B4 EDH17B4 SDR8C1	Homo sapiens (Human)	736
1jmq	Q96G27	WBP1_HUMAN	reviewed	WW domain-binding protein 1 (WBP-1)	WBP1	Homo sapiens (Human)	269
1fzo,1fzk	P04857	NCAP_SENDE	reviewed	Nucleoprotein (Nucleocapsid protein) (NP) (Protein N)	N NP	Sendai virus (strain Enders) (SeV)	517
1i5h	P37090	SCNNB_RAT	reviewed	Amiloride-sensitive sodium channel subunit beta (Beta-NaCH) (Epithelial Na(+) channel subunit beta) (Beta-ENaC) (Nonvoltage-gated sodium channel 1 subunit beta) (SCNEB)	Scnn1b	Rattus norvegicus (Rat)	638
1gny	Q59675	XY10C_CELJA	reviewed	Endo-beta-1,4-xylanase Xyn10C (Xylanase 10C) (EC 3.2.1.8) (XYLF)	xyn10C xynF	Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa)	606
1fzm,1fzj	P03521	NCAP_VSIVA	reviewed	Nucleoprotein (NP) (Nucleocapsid protein) (Protein N)	N	Vesicular stomatitis Indiana virus (strain San Juan) (VSIV)	422
1jzs	P56690	SYI_THET8	reviewed	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS TTHA1067	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	1043
1i6v	Q9EVV4	RPOZ_THEAQ	reviewed	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ	Thermus aquaticus	99
1i6v	Q9KWU6	RPOC_THEAQ	reviewed	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC	Thermus aquaticus	1524
1i6v	Q9KWU7	RPOB_THEAQ	reviewed	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB	Thermus aquaticus	1119
1i6v	Q9KWU8	RPOA_THEAQ	reviewed	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA	Thermus aquaticus	314
1qq9,1f2o,1f2p	P80561	APX_STRGG	reviewed	Aminopeptidase S (EC 3.4.11.24) (API) (SGAP)	SGR_5809	Streptomyces griseus subsp. griseus (strain JCM 4626 / NBRC 13350)	445
1ci7,1f28	P13100	TYSY_PNECA	reviewed	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	THYA	Pneumocystis carinii	297
1fpy	P0A1P6	GLN1B_SALTY	reviewed	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I beta) (GSI beta)	glnA STM4007	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	469
1g42,1g5f	D4Z2G1	LINB_SPHJU	reviewed	Haloalkane dehalogenase (EC 3.8.1.5) (1,3,4,6-tetrachloro-1,4-cyclohexadiene halidohydrolase) (1,4-TCDN halidohydrolase)	linB SJA_C1-19590	Sphingobium japonicum (strain DSM 16413 / CCM 7287 / MTCC 6362 / UT26 / NBRC 101211 / UT26S)	296
1i48,1i43,1i41	Q9ZPL5	Q9ZPL5_TOBAC	unreviewed	Cystathionine gamma-synthase	metB	Nicotiana tabacum (Common tobacco)	445
1ga8,1g9r	Q93EK7	Q93EK7_NEIME	unreviewed	LgtC	lgtC	Neisseria meningitidis	311
1hv5	Q02853	MMP11_MOUSE	reviewed	Stromelysin-3 (SL-3) (ST3) (EC 3.4.24.-) (Matrix metalloproteinase-11) (MMP-11)	Mmp11	Mus musculus (Mouse)	492
1jr1	P12269	IMDH2_CRIGR	reviewed	Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205) (IMPDH-II)	IMPDH2	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	514
1eix,1jjk	P08244	PYRF_ECOLI	reviewed	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF b1281 JW1273	Escherichia coli (strain K12)	245
1iau	P10144	GRAB_HUMAN	reviewed	Granzyme B (EC 3.4.21.79) (C11) (CTLA-1) (Cathepsin G-like 1) (CTSGL1) (Cytotoxic T-lymphocyte proteinase 2) (Lymphocyte protease) (Fragmentin-2) (Granzyme-2) (Human lymphocyte protein) (HLP) (SECT) (T-cell serine protease 1-3E)	GZMB CGL1 CSPB CTLA1 GRB	Homo sapiens (Human)	247
1kat	P15692	VEGFA_HUMAN	reviewed	Vascular endothelial growth factor A (VEGF-A) (Vascular permeability factor) (VPF)	VEGFA VEGF	Homo sapiens (Human)	232
1iyl	P30418	NMT_CANAL	reviewed	Glycylpeptide N-tetradecanoyltransferase (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase) (NMT) (Peptide N-myristoyltransferase)	NMT1 CAALFM_C401440WA CaO19.12111 CaO19.4641	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	451
1hti,1klg,1klu	P60174	TPIS_HUMAN	reviewed	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)	TPI1 TPI	Homo sapiens (Human)	249
1i8j,1l6y,1l6s	P0ACB2	HEM2_ECOLI	reviewed	Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	hemB ncf b0369 JW0361	Escherichia coli (strain K12)	324
2hpa,1nd5	P15309	PPAP_HUMAN	reviewed	Prostatic acid phosphatase (PAP) (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Acid phosphatase 3) (Ecto-5'-nucleotidase) (Protein tyrosine phosphatase ACP3) (EC 3.1.3.48) (Thiamine monophosphatase) (TMPase) [Cleaved into: PAPf39]	ACP3 ACPP	Homo sapiens (Human)	386
